Issue Type,Summary,Description,Priority,Story Points,Epic Link,Assignee,Labels,Sprint,Status,Component
Epic,MVP 개발,"시뮬레이터 거래 시스템 구축 - 기본 인증, 계좌 관리, 주문 처리, 포트폴리오, Market Data, Frontend",Highest,96,,,phase-1;mvp,,To Do,Backend
Epic,실전 거래 연동,"증권사 API 통합, Trading Abstraction Layer, 리스크 관리 시스템",Highest,37,,,phase-2;live-trading,,To Do,Integration
Epic,고급 기능,"성과 분석, 백테스팅, 알림 시스템",Medium,34,,,phase-3;advanced,,To Do,Analytics
Epic,인프라 & 배포,"CI/CD, 모니터링, 로깅, 보안, 백업, 프로덕션 배포",High,26,,,devops;infrastructure,,To Do,Infrastructure
Epic,테스트 & 품질 관리,"백엔드/프론트엔드 테스트, 커버리지 80% 달성",High,13,,,testing;quality,,To Do,QA
Story,개발 환경 설정,"프로젝트 구조, Docker Compose, PostgreSQL/Redis, Git 저장소 초기화",Highest,5,MVP 개발,DevOps Agent,environment;docker,Sprint 1,To Do,Infrastructure
Task,프로젝트 디렉토리 구조 생성,"backend, frontend, market-data-service, broker-connector 디렉토리 생성",High,1,개발 환경 설정,DevOps Agent,setup,Sprint 1,To Do,Infrastructure
Task,Docker Compose 파일 작성,"PostgreSQL, Redis, Backend API, Market Data Service, Broker Connector 서비스 정의",High,2,개발 환경 설정,DevOps Agent,docker,Sprint 1,To Do,Infrastructure
Task,환경 변수 설정,".env 파일 생성, DB_PASSWORD, JWT_SECRET, REDIS_PASSWORD 등 설정",High,1,개발 환경 설정,DevOps Agent,security,Sprint 1,To Do,Infrastructure
Task,Git 저장소 초기화,".gitignore 작성, README.md 작성, 초기 커밋",Medium,1,개발 환경 설정,DevOps Agent,git,Sprint 1,To Do,Infrastructure
Task,로컬 개발 환경 테스트,"docker-compose up 실행, 모든 서비스 정상 구동 확인",High,1,개발 환경 설정,DevOps Agent,testing,Sprint 1,To Do,Infrastructure
Story,데이터베이스 설계 및 구현,"ERD 설계, SQLAlchemy 모델, Alembic 마이그레이션, 시드 데이터",Highest,8,MVP 개발,Backend Developer Agent,database;postgresql,Sprint 1,To Do,Backend
Task,ERD 설계,"users, accounts, orders, executions, positions, market_prices, alerts, risk_limits 테이블 설계",Highest,2,데이터베이스 설계 및 구현,Backend Developer Agent,database;design,Sprint 1,To Do,Backend
Task,SQLAlchemy 모델 작성,"ORM 모델 구현, 관계 정의, 인덱스 설정",Highest,3,데이터베이스 설계 및 구현,Backend Developer Agent,orm,Sprint 1,To Do,Backend
Task,Alembic 마이그레이션 설정,"마이그레이션 환경 구축, 초기 마이그레이션 스크립트 생성",High,1,데이터베이스 설계 및 구현,Backend Developer Agent,migration,Sprint 1,To Do,Backend
Task,초기 마이그레이션 실행,"테이블 생성, 제약 조건 확인, rollback 테스트",High,1,데이터베이스 설계 및 구현,Backend Developer Agent,migration,Sprint 1,To Do,Backend
Task,시드 데이터 작성,"테스트용 사용자, 계좌, 주문 더미 데이터 생성",Medium,1,데이터베이스 설계 및 구현,Backend Developer Agent,seed-data,Sprint 1,To Do,Backend
Task,인덱스 최적화,"자주 조회되는 컬럼에 인덱스 추가, 쿼리 성능 측정",Medium,1,데이터베이스 설계 및 구현,Backend Developer Agent,performance,Sprint 1,To Do,Backend
Story,사용자 인증 시스템,"회원가입, 로그인, JWT 인증, 2FA, 비밀번호 재설정",High,8,MVP 개발,Backend Developer Agent,auth;security,Sprint 1,To Do,Backend
Task,사용자 모델 구현,"User 엔티티, 비밀번호 해싱 (bcrypt), 기본 CRUD",Highest,2,사용자 인증 시스템,Backend Developer Agent,auth,Sprint 1,To Do,Backend
Task,회원가입 API,"POST /api/auth/register, 이메일 중복 검증, 비밀번호 강도 체크",Highest,2,사용자 인증 시스템,Backend Developer Agent,api;auth,Sprint 1,To Do,Backend
Task,로그인 API,"POST /api/auth/login, JWT Access/Refresh Token 발급",Highest,3,사용자 인증 시스템,Backend Developer Agent,api;auth;jwt,Sprint 1,To Do,Backend
Task,JWT 미들웨어,"토큰 검증, 인가 확인, Protected Route",Highest,2,사용자 인증 시스템,Backend Developer Agent,middleware;jwt,Sprint 1,To Do,Backend
Task,로그아웃 API,"POST /api/auth/logout, 토큰 블랙리스트 (Redis)",Medium,1,사용자 인증 시스템,Backend Developer Agent,api;auth,Sprint 1,To Do,Backend
Task,비밀번호 재설정,"이메일 인증 기반 비밀번호 변경 플로우",Medium,3,사용자 인증 시스템,Backend Developer Agent,auth;email,Sprint 1,To Do,Backend
